variant_id,proxy_pnl,day_0_proxy_pnl,day_1_proxy_pnl,day_2_proxy_pnl,min_day_proxy_pnl,positive_days,trade_count,unit_count,mean_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h100_l1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,141.27359925723266,21.225033440943864,38.86119672637448,81.18736908991433,21.225033440943864,3,172,344,0.6773202009518773,0.2,0.008,100,1.0,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p03_h200_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,137.2751127401041,19.52370132020917,58.33103669510605,59.42037472478889,19.52370132020917,3,479,479,0.6186280382963484,0.1,0.03,200,1.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p03_h200_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,137.2751127401041,19.52370132020917,58.33103669510605,59.42037472478889,19.52370132020917,3,479,479,0.6186280382963484,0.1,0.03,200,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p015_h200_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,135.44003544796246,19.388264220698776,58.35110409026697,57.700667136996714,19.388264220698776,3,479,479,0.6098504241579096,0.1,0.015,200,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p015_h200_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,135.44003544796246,19.388264220698776,58.35110409026697,57.700667136996714,19.388264220698776,3,479,479,0.6098504241579096,0.1,0.015,200,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p03_h200_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,137.88029583138038,19.189105916508858,59.27081519008264,59.42037472478889,19.189105916508858,3,481,481,0.6172527472527473,0.1,0.03,200,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p03_h200_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,137.88029583138038,19.189105916508858,59.27081519008264,59.42037472478889,19.189105916508858,3,481,481,0.6172527472527473,0.1,0.03,200,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p03_h200_l10_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,132.57308389061296,18.70602926920603,54.87539295462156,58.991661666785376,18.70602926920603,3,470,470,0.6137214738915752,0.1,0.03,200,10.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p03_h200_l10_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,132.57308389061296,18.70602926920603,54.87539295462156,58.991661666785376,18.70602926920603,3,470,470,0.6137214738915752,0.1,0.03,200,10.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p03_h100_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,86.18667977477438,18.577500386530218,27.553640787601047,40.05553860064312,18.577500386530218,3,383,383,0.6017881571233145,0.1,0.03,100,1.0,0.98,0.1,1.0,1,20,20,300,60
