product,category,family,name,params,day_2,day_3,day_4,total_pnl,mean_pnl,day_stdev,positive_days,max_drawdown,turnover,edge,avg_spread,active_ticks,param_fragility,score
MICROCHIP_SQUARE,microchip,passive_market_making,MICROCHIP_SQUARE:passive_2.0,"{""threshold"": 5.8594, ""edge"": 2.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.7188,0,0.0,0.0
SNACKPACK_RASPBERRY,snack,participant_flow,SNACKPACK_RASPBERRY:flow_0.9,"{""threshold"": 16.842466666666667, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.842466666666667,0,0.0,0.0
SNACKPACK_RASPBERRY,snack,participant_flow,SNACKPACK_RASPBERRY:flow_0.97,"{""threshold"": 16.842466666666667, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.842466666666667,0,0.0,0.0
SNACKPACK_RASPBERRY,snack,participant_flow,SNACKPACK_RASPBERRY:flow_0.99,"{""threshold"": 16.842466666666667, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.842466666666667,0,0.0,0.0
SNACKPACK_STRAWBERRY,snack,participant_flow,SNACKPACK_STRAWBERRY:flow_0.9,"{""threshold"": 17.826466666666665, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.826466666666665,0,0.0,0.0
GALAXY_SOUNDS_DARK_MATTER,galaxy,participant_flow,GALAXY_SOUNDS_DARK_MATTER:flow_0.97,"{""threshold"": 13.050833333333333, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.050833333333333,0,53.0,-26.5
GALAXY_SOUNDS_DARK_MATTER,galaxy,participant_flow,GALAXY_SOUNDS_DARK_MATTER:flow_0.9,"{""threshold"": 13.050833333333333, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.050833333333333,0,53.0,-26.5
GALAXY_SOUNDS_DARK_MATTER,galaxy,participant_flow,GALAXY_SOUNDS_DARK_MATTER:flow_0.99,"{""threshold"": 13.050833333333333, ""decay"": 0.99, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.050833333333333,0,53.0,-26.5
OXYGEN_SHAKE_EVENING_BREATH,oxygen,participant_flow,OXYGEN_SHAKE_EVENING_BREATH:flow_0.97,"{""threshold"": 11.860466666666667, ""decay"": 0.97, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.860466666666667,0,64.0,-32.0
OXYGEN_SHAKE_EVENING_BREATH,oxygen,participant_flow,OXYGEN_SHAKE_EVENING_BREATH:flow_0.9,"{""threshold"": 11.860466666666667, ""decay"": 0.9, ""mult"": 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.860466666666667,0,64.0,-32.0
