feature,target,ic_mean,abs_ic_mean,ic_min,ic_max,same_sign_days,day_2_ic,day_3_ic,day_4_ic
ret_20,target_5,-0.009001479501365851,0.009001479501365851,-0.01548071644927175,-0.004615286826768553,1,-0.006908435228057252,-0.004615286826768553,-0.01548071644927175
ret_3,target_5,-0.008988600065862213,0.008988600065862213,-0.017195274786231375,-0.002046215205065404,1,-0.007724310206289857,-0.002046215205065404,-0.017195274786231375
z_500,target_cross_buy_5,-0.008731701053180947,0.008731701053180947,-0.012703378350176138,-0.003398473660068487,1,-0.003398473660068487,-0.010093251149298219,-0.012703378350176138
ret_200,target_3,-0.008609890894350087,0.008609890894350087,-0.012907705144271446,-0.006145698325816523,1,-0.006145698325816523,-0.006776269212962292,-0.012907705144271446
ret_3,target_cross_sell_5,0.008501813523061228,0.008501813523061228,0.0013619695774844507,0.016853615800558195,1,0.007289855191141038,0.0013619695774844507,0.016853615800558195
ret_100,target_cross_buy_5,-0.00848801090109095,0.00848801090109095,-0.015078910088101518,-0.00283337354430607,1,-0.00283337354430607,-0.007551749070865267,-0.015078910088101518
ret_50,target_5,-0.008381450595144344,0.008381450595144344,-0.01936731013594493,-0.002003878960294963,1,-0.002003878960294963,-0.0037731626891931358,-0.01936731013594493
xcat_pebbles_ret_1,target_1,-0.00830340868769871,0.00830340868769871,-0.010611417703389352,-0.005969449209757588,1,-0.010611417703389352,-0.005969449209757588,-0.008329359149949195
xcat_pebbles_ret_5,target_1,-0.00826549716989644,0.00826549716989644,-0.0090875393761323,-0.007643268560538937,1,-0.007643268560538937,-0.008065683573018083,-0.0090875393761323
z_200,target_cross_buy_5,-0.008264144798655759,0.008264144798655759,-0.015662532797255005,-0.0038421014899169743,1,-0.0038421014899169743,-0.005287800108795295,-0.015662532797255005
z_50,target_cross_buy_5,-0.00804555321594829,0.00804555321594829,-0.016049010192730896,-0.0037168230998651675,1,-0.0043708263552488,-0.0037168230998651675,-0.016049010192730896
ret_20,target_cross_sell_5,0.007937631132918602,0.007937631132918602,0.003569402343751725,0.014416467659332547,1,0.005827023395671535,0.003569402343751725,0.014416467659332547
xcat_snack_ret_5,target_1,-0.007697678475635485,0.007697678475635485,-0.007988224003892977,-0.007500535452244124,1,-0.007604275970769354,-0.007988224003892977,-0.007500535452244124
cat_resid_z_200,target_cross_buy_5,-0.007498398290061299,0.007498398290061299,-0.013974998839320902,-0.003892448355087487,1,-0.003892448355087487,-0.004627747675775508,-0.013974998839320902
xcat_snack_ret_1,target_cross_sell_5,0.007366509524244356,0.007366509524244356,0.005191483533662564,0.008790172301727663,1,0.005191483533662564,0.00811787273734284,0.008790172301727663
xcat_oxygen_ret_1,target_1,-0.007163500529833743,0.007163500529833743,-0.00977261952762391,-0.005225950113164169,1,-0.00977261952762391,-0.006491931948713149,-0.005225950113164169
