signal,product,horizon,threshold,day,count,mean_edge,total_edge,hit_rate,t_stat
premium_rolling_z,VEV_4500,50,1.0,1,892,-6.565582959641255,-5856.5,0.1726457399103139,-26.650880992193333
premium_rolling_z,VEV_4500,50,1.0,2,907,-6.400220507166483,-5805.0,0.16207276736493936,-27.240528510137825
premium_rolling_z,VEV_4500,50,1.0,3,923,-5.57421451787649,-5145.0,0.2199349945828819,-22.319784038905354
premium_rolling_z,VEV_4500,50,1.5,1,692,-6.0281791907514455,-4171.5,0.19508670520231214,-21.26772419594707
premium_rolling_z,VEV_4500,50,1.5,2,712,-5.863061797752809,-4174.5,0.1853932584269663,-21.710312702539806
premium_rolling_z,VEV_4500,50,1.5,3,710,-5.192957746478873,-3687.0,0.2352112676056338,-18.06186809303327
premium_rolling_z,VEV_4500,50,2.0,1,489,-5.35480572597137,-2618.5,0.24130879345603273,-15.14448692324604
premium_rolling_z,VEV_4500,50,2.0,2,494,-4.885627530364372,-2413.5,0.22672064777327935,-14.963878428620067
premium_rolling_z,VEV_4500,50,2.0,3,500,-3.91,-1955.0,0.29,-11.23442349270635
premium_rolling_z,VEV_4500,50,2.5,1,304,-3.6990131578947367,-1124.5,0.3355263157894737,-7.792564745686694
premium_rolling_z,VEV_4500,50,2.5,2,284,-2.744718309859155,-779.5,0.3204225352112676,-6.406721891939936
premium_rolling_z,VEV_4500,50,2.5,3,320,-1.75625,-562.0,0.396875,-4.0737514706437095
premium_rolling_z,VEV_4500,100,1.0,1,888,-6.787725225225225,-6027.5,0.2511261261261261,-20.1696040345282
premium_rolling_z,VEV_4500,100,1.0,2,902,-6.376385809312638,-5751.5,0.21618625277161863,-21.363950565653948
premium_rolling_z,VEV_4500,100,1.0,3,920,-5.458152173913043,-5021.5,0.3010869565217391,-16.75572531032489
premium_rolling_z,VEV_4500,100,1.5,1,688,-5.9273255813953485,-4078.0,0.2805232558139535,-15.20706351218025
premium_rolling_z,VEV_4500,100,1.5,2,707,-5.814002828854314,-4110.5,0.25035360678925034,-17.083440001061284
premium_rolling_z,VEV_4500,100,1.5,3,707,-5.074257425742574,-3587.5,0.32107496463932106,-13.387692870738135
premium_rolling_z,VEV_4500,100,2.0,1,487,-5.497946611909651,-2677.5,0.29568788501026694,-11.663127974763958
premium_rolling_z,VEV_4500,100,2.0,2,490,-4.846938775510204,-2375.0,0.29591836734693877,-12.062111268780203
premium_rolling_z,VEV_4500,100,2.0,3,499,-3.944889779559118,-1968.5,0.36472945891783565,-8.648419782390336
premium_rolling_z,VEV_4500,100,2.5,1,303,-4.194719471947194,-1271.0,0.3465346534653465,-6.772456753916373
premium_rolling_z,VEV_4500,100,2.5,2,282,-2.5319148936170213,-714.0,0.39361702127659576,-4.8291515544752
premium_rolling_z,VEV_4500,100,2.5,3,320,-1.1859375,-379.5,0.4875,-2.1608037046469475
