day,timestamp,cash,equity,gross_exposure,drawdown,stopped,open_positions,max_abs_position
3,382900,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,383000,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,383200,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,383400,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,383900,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,384000,-6477.0,-6477.0,0.0,30604.0,1,1,11
3,384200,-6387.0,-6377.5,9.5,30504.5,1,1,1
3,384400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,384700,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,384800,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,385100,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,385500,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,385600,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,386500,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,386600,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,386700,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,386900,-6342.0,-6380.0,38.0,30507.0,1,1,4
3,387100,-6342.0,-6342.0,0.0,30469.0,1,1,4
3,387300,-6342.0,-6342.0,0.0,30469.0,1,1,4
3,387400,-6342.0,-6342.0,0.0,30469.0,1,1,4
3,387500,-6342.0,-6342.0,0.0,30469.0,1,1,4
3,387800,-6387.0,-6378.5,8.5,30505.5,1,1,1
3,387900,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,388400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,389000,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,389200,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,389400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,390100,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,390200,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,390400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,390500,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,390600,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,391000,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,391300,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,391400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,391900,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,392400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,392800,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,392900,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,393400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,393900,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,394000,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,394300,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,394400,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,394600,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,394700,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,395200,-6387.0,-6387.0,0.0,30514.0,1,1,1
3,395700,-6279.0,-6389.0,110.0,30516.0,1,1,11
3,396300,-6279.0,-6279.0,0.0,30406.0,1,1,11
3,396400,-6279.0,-6279.0,0.0,30406.0,1,1,11
3,396500,-6279.0,-6279.0,0.0,30406.0,1,1,11
3,397600,-6279.0,-6279.0,0.0,30406.0,1,1,11
3,397800,-6411.0,-6401.0,10.0,30528.0,1,1,1
3,398100,-6411.0,-6411.0,0.0,30538.0,1,1,1
3,398200,-6411.0,-6411.0,0.0,30538.0,1,1,1
3,398600,-6411.0,-6411.0,0.0,30538.0,1,1,1
3,398700,-6411.0,-6411.0,0.0,30538.0,1,1,1
3,398800,-6411.0,-6411.0,0.0,30538.0,1,1,1
3,399100,-6411.0,-6411.0,0.0,30538.0,1,1,1
