y,name,legs,folds,sum_proxy,mean_proxy,min_proxy,avg,trades,sd,hl,cross,entry,margin
PEBBLES_L,xlev5,MICROCHIP_CIRCLE|TRANSLATOR_SPACE_GRAY|TRANSLATOR_GRAPHITE_MIST|OXYGEN_SHAKE_MINT|ROBOT_DISHES,4,170690.0,42672.5,-3845.0,12.893670433407083,7898.25,311.18027522382124,395.3487319016792,5,1.7000000000000002,1.0
PEBBLES_XS,xlev5,PANEL_2X4|UV_VISOR_AMBER|MICROCHIP_OVAL|MICROCHIP_SQUARE|OXYGEN_SHAKE_GARLIC,4,164599.0,41149.75,2059.0,19.28845474441988,5242.5,245.78239916264604,307.89094591861476,5,2.2,1.0
PEBBLES_M,ret3,PEBBLES_XL|PEBBLES_XS|PEBBLES_S,4,162128.0,40532.0,-3961.5,9.755849732709136,4080.0,270.03893254077195,825.534494038832,0,2.2,1.0
PEBBLES_M,ret4,PEBBLES_XL|PEBBLES_XS|PEBBLES_S|UV_VISOR_MAGENTA,4,159420.5,39855.125,5657.0,11.592995258901045,4704.5,263.6034918845617,753.7287952185286,1,2.2,1.0
SLEEP_POD_POLYESTER,lev2,SLEEP_POD_COTTON|UV_VISOR_AMBER,4,156067.5,39016.875,5867.0,23.361630615718816,3110.0,288.2673871324795,650.7984897843853,1,1.5,1.0
PEBBLES_L,lev2,PEBBLES_XL|MICROCHIP_CIRCLE,4,153329.5,38332.375,1699.0,4.728906553128934,8488.5,381.36265916575354,1142.4080366820604,1,2.2,1.0
SLEEP_POD_POLYESTER,ret4,OXYGEN_SHAKE_GARLIC|TRANSLATOR_SPACE_GRAY|UV_VISOR_MAGENTA|SNACKPACK_CHOCOLATE,4,152324.0,38081.0,31209.5,5.75097267664975,7279.0,306.2703278505545,642.7672612501539,4,2.2,1.0
PEBBLES_M,lev2,OXYGEN_SHAKE_MORNING_BREATH|ROBOT_IRONING,4,152188.5,38047.125,1648.5,39.579355816332104,1168.25,363.2956277176976,503.2870931673743,2,2.0,1.0
PEBBLES_M,ridge8,OXYGEN_SHAKE_MORNING_BREATH|ROBOT_IRONING|PANEL_1X4|GALAXY_SOUNDS_SOLAR_WINDS|ROBOT_MOPPING|MICROCHIP_RECTANGLE|TRANSLATOR_ECLIPSE_CHARCOAL|MICROCHIP_SQUARE,4,150871.5,37717.875,13456.5,6.234115709304059,6343.0,258.0595347896755,261.1971015650115,8,2.2,1.0
SLEEP_POD_POLYESTER,cat4,SLEEP_POD_COTTON|SLEEP_POD_LAMB_WOOL|SLEEP_POD_NYLON|SLEEP_POD_SUEDE,4,150570.0,37642.5,353.5,24.363953116234857,6251.25,285.66918502273603,670.8776225257086,0,2.0,1.0
PEBBLES_S,xlev5,OXYGEN_SHAKE_GARLIC|PANEL_2X4|GALAXY_SOUNDS_BLACK_HOLES|OXYGEN_SHAKE_EVENING_BREATH|MICROCHIP_CIRCLE,4,149968.5,37492.125,18301.0,14.378229013550937,5756.25,253.53951865434274,384.53064248501175,5,1.65,1.0
ROBOT_MOPPING,xlev5,PANEL_1X4|OXYGEN_SHAKE_MORNING_BREATH|MICROCHIP_SQUARE|MICROCHIP_RECTANGLE|PEBBLES_M,4,142046.5,35511.625,4746.5,14.346471005894001,6432.5,289.27520380652805,601.3391897991156,5,1.85,1.0
SLEEP_POD_POLYESTER,lev5,SLEEP_POD_COTTON|UV_VISOR_AMBER|UV_VISOR_YELLOW|GALAXY_SOUNDS_DARK_MATTER|MICROCHIP_SQUARE,4,141082.0,35270.5,8869.0,21.190186471670188,3612.25,246.72788095174752,460.46303613754895,4,2.2,1.0
PEBBLES_M,ret2,PEBBLES_XL|PEBBLES_XS,4,136173.5,34043.375,-6088.5,3.3773073585009272,8257.25,321.5334122823686,689.7232978331106,0,1.25,1.0
SLEEP_POD_POLYESTER,lev4,SLEEP_POD_COTTON|UV_VISOR_AMBER|UV_VISOR_YELLOW|GALAXY_SOUNDS_DARK_MATTER,4,134924.0,33731.0,18428.5,32.11976943424916,3101.25,256.1549523280975,482.97045319509994,3,2.0,1.0
SLEEP_POD_COTTON,xlev3,MICROCHIP_SQUARE|MICROCHIP_CIRCLE|ROBOT_MOPPING,4,132641.0,33160.25,7801.5,16.129609008194084,6111.5,373.9391941597335,1011.4912975345228,3,2.2,1.0
MICROCHIP_RECTANGLE,lev2,ROBOT_MOPPING|MICROCHIP_SQUARE,4,127837.0,31959.25,14693.0,9.521953486890638,3986.75,307.937232800755,610.6531318682482,1,1.3,1.0
PEBBLES_L,lev3,PEBBLES_XL|MICROCHIP_CIRCLE|TRANSLATOR_SPACE_GRAY,4,126832.5,31708.125,-9646.5,3.8135345148776993,9649.25,370.5958043127692,789.5512788155102,2,1.5,1.0
PEBBLES_M,lev3,OXYGEN_SHAKE_MORNING_BREATH|ROBOT_IRONING|PANEL_1X4,4,125161.0,31290.25,4637.5,33.2818693225489,1518.0,340.22744316042827,447.75815973342844,3,2.2,1.0
GALAXY_SOUNDS_SOLAR_WINDS,ret3,TRANSLATOR_GRAPHITE_MIST|SNACKPACK_CHOCOLATE|UV_VISOR_YELLOW,4,125007.0,31251.75,2979.5,8.020541749425854,4210.5,290.6913499794552,645.5433972887276,3,1.85,1.0
TRANSLATOR_ECLIPSE_CHARCOAL,ret5,SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY|UV_VISOR_MAGENTA|SNACKPACK_CHOCOLATE|ROBOT_IRONING,4,124870.0,31217.5,7493.5,7.079802544757382,5142.75,175.3550886541845,323.19230421489414,5,1.2,1.0
PEBBLES_S,xlev3,OXYGEN_SHAKE_GARLIC|PANEL_2X4|GALAXY_SOUNDS_BLACK_HOLES,4,123356.0,30839.0,15019.5,15.179482158965904,4299.5,257.5344246570556,428.38617993843707,3,2.2,1.0
