leader,follower,h,days,n,corr_mean,corr_min,corr_max,edge_mean,edge_min,edge_max,same_sign_corr,same_sign_edge,score
ROBOT_LAUNDRY,ROBOT_LAUNDRY,10,3,731,-0.0710100841733561,-0.14865008696250406,-0.012181362588914686,-3.879996687031683,-9.023911382734912,-0.5452233250620346,True,True,1.3770292586295731
SNACKPACK_STRAWBERRY,SNACKPACK_STRAWBERRY,20,3,730,0.055991598266759125,-0.009448473755724971,0.11224161985767418,4.009809617257435,1.4546218487394957,6.008995037220844,False,True,1.370917679977508
SLEEP_POD_COTTON,SLEEP_POD_COTTON,10,3,731,-0.057790440718084014,-0.08480089087129795,-0.0422140888821389,-3.918346637839084,-5.664415736934821,-1.4933537051184111,True,True,1.3488753135059772
UV_VISOR_RED,UV_VISOR_RED,5,3,732,0.05327705042207579,-0.0025606598543055307,0.08496812700398836,3.9416881594969104,1.7182041661275715,6.097058823529412,False,True,1.3423375991153006
SLEEP_POD_POLYESTER,SLEEP_POD_POLYESTER,200,3,712,0.005985179696918828,-0.04589312518356972,0.08748894254897797,-4.408723365286618,-19.808139534883722,8.326078045581244,False,False,1.340572548676742
SLEEP_POD_POLYESTER,SLEEP_POD_POLYESTER,500,3,688,-0.006241145682354785,-0.06654872888445935,0.09319632842752877,-4.3372368503950325,-23.50132968619406,32.59236303744798,False,False,1.3198944921655742
ROBOT_DISHES,ROBOT_DISHES,10,3,731,0.06936048056258132,-0.035551027004604975,0.19809189644382202,3.6681348853014044,-1.9455955334987594,11.35366692131398,False,False,1.3085219072781653
UV_VISOR_YELLOW,UV_VISOR_YELLOW,5,3,732,0.07547651979045109,0.011547319640580176,0.1278311904763887,3.526294859693556,0.9086707410236823,5.5171215880893305,True,True,1.2843180172794202
ROBOT_DISHES,ROBOT_DISHES,200,3,712,-0.02036838994146868,-0.08882321744942077,0.04509743247251122,4.025633513960266,-17.02138831967213,17.971587763012185,False,False,1.2687952240124858
TRANSLATOR_VOID_BLUE,TRANSLATOR_VOID_BLUE,50,3,727,-0.04233911797925683,-0.08181420292424967,0.029310737751975804,-3.7847664930510434,-12.182047364400306,9.38920074846298,False,False,1.2624473018530835
SNACKPACK_VANILLA,SNACKPACK_VANILLA,200,3,712,0.03264121392647094,-0.03847328702585056,0.10105853867874968,3.8760234111306815,-6.841326446958519,10.463697397563678,False,False,1.2607306651186172
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_ECLIPSE_CHARCOAL,50,3,727,-0.014849927143700604,-0.08864164100658846,0.031916953524049545,-4.039116832719239,-17.300840336134453,5.168704891740176,False,False,1.2562848312468735
SNACKPACK_VANILLA,SNACKPACK_VANILLA,100,3,722,0.03586501126657816,-0.033109038841205675,0.14882796540336118,3.778843759041274,-2.6991518829754124,13.098939208486332,False,False,1.2412481615121167
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_FLAMES,50,3,727,0.02809685697273039,-0.06148678452647622,0.13796506368002415,3.8036247335434843,-6.388315828957239,17.377043544690604,False,False,1.2253779909812366
ROBOT_LAUNDRY,ROBOT_LAUNDRY,20,3,730,-0.04238513009795155,-0.042822887019490094,-0.04157892615145985,-3.6472360831943376,-4.466239316239316,-2.310580595874714,True,True,1.2213262152521558
PANEL_1X2,PANEL_1X2,10,3,731,0.07167883573323107,-0.014200623870337114,0.1149970883611104,3.3458412746787096,-3.6891433418150976,9.10309396485867,False,False,1.2187888896033061
ROBOT_MOPPING,ROBOT_MOPPING,200,3,712,0.026999674343210597,-0.033480738332238746,0.059650664848128365,3.7252091810029078,-20.620258859357698,18.513831967213115,False,False,1.1985617773305042
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,100,3,722,0.014691609936213277,-0.06357592744367506,0.09166499990452757,3.721090290609473,-13.045083639330885,22.64635854341737,False,False,1.1604019169914819
